"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"1","Inverts/Zooplankton",NA,"Abalone",NA,NA,NA,NA,"State","State"
"2","Algae/Phytoplankton",NA,"Agar",NA,NA,NA,NA,"State",NA
"3",NA,NA,"Albacore Tuna",NA,NA,NA,NA,"State",NA
"4","Marine mammals/Seabirds/Turtles","Diomedea","Albatrosses","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"5","Marine mammals/Seabirds/Turtles","Fulica americana","American Coot","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"6","Marine mammals/Seabirds/Turtles","Falco peregrinus anatum","American Peregrine Falcon",NA,NA,NA,"State & Federal",NA,NA
"7","Fish",NA,"American Shad",NA,NA,NA,NA,"State","State"
"8","Marine mammals/Seabirds/Turtles","Pelecanus erythrorhynchos","American White Pelican","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"9",NA,NA,"Amphioxus Lancelets",NA,NA,NA,NA,"State",NA
"10","Marine mammals/Seabirds/Turtles","Synthliboramphus","Ancient Murrelet","Species sampled by CalCOFI",NA,NA,"State",NA,NA
"11","Marine mammals/Seabirds/Turtles","Synthliboramphus antiquus","Ancient Murrelet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"12","Inverts/Zooplankton",NA,"Anemones",NA,NA,NA,NA,"State",NA
"13","Marine mammals/Seabirds/Turtles","Gavia arctica","Arctic Loon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"14","Marine mammals/Seabirds/Turtles","Falco peregrinus tundrius","Arctic Peregrine Falcon",NA,NA,NA,"Federal",NA,NA
"15","Marine mammals/Seabirds/Turtles","Sterna paradisaea","Arctic Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"16",NA,NA,"Armed Box Crab",NA,NA,NA,NA,"State",NA
"17",NA,"Clevelandia ios","Arrow goby",NA,NA,NA,NA,NA,NA
"18","Fish","Atheresthes stomias","Arrowtooth Flounder",NA,"Federal",NA,NA,"State","State"
"19","Marine mammals/Seabirds/Turtles","Oceanodroma homochroa","Ashy Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"20",NA,"Gonostoma atlanticum","Atlantic fangjaw",NA,NA,NA,NA,NA,NA
"21","Marine mammals/Seabirds/Turtles","Ciconiiformes","Auks","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"22","Fish","Sebastes aurora","Aurora rockfish","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
